text,trans
二週間後、ビジュアルレッスンで勉強したいですっ,"2주일 후에, 비주얼 레슨으로 공부하고 싶어요"
二週間後に少しお休みしてもいいですか？,2주일 후에 조금 쉬어도 될까요?
この前の新曲、まだ音がつかみきれてないんです\r\n……思った音が出ないというか……,"전에 불렀던 신곡, 아직 음정이 완벽하지 않은거 같아요\r\n……생각했던 대로 노래가 안나온다고 해야할지……"
ボーカルレッスンをお願いしたいんですが……\r\n今週、お願いできますか？,"보컬 레슨을 하고 싶습니다만……\r\n이번 주, 부탁해도 될까요?"
そうですか\r\n残念ですが、仕方ないですね,"그런가요\r\n유감이지만, 어쩔 수 없겠죠"
この間教えていただいた発声法、試してみました。,"전에 알려주신 발성법, 시험 삼아 해봤어요."
いつも以上に成長できたんじゃないかな、と……\r\n自分でも、思います,"평소보다 더 성장한 거 아닐까, 라고……\r\n저 스스로, 느끼고 있어요"
音楽はいくらでも再生できますし、\r\nカラオケに行けば自主トレもできます,"음악은 언제든지 재생 할 수 있기도 하고, \r\n노래방에 가서도 자율 트레이닝도 할 수 있어요"
また、レッスン場が使えそうだったら……\r\n教えてくださいね,"다음에, 레슨실 사용 할 수 있을것 같으면……\r\n알려주세요"
すみません、プロデューサー\r\nせっかく予定を調整していただいたのに、私……,"죄송해요, 프로듀서\r\n모처럼 예정을 조정 했는데, 저……"
……落ち込んでいても仕方ないですね\r\n挽回できるように、頑張ります,"……낙담하고 있어도 별 수 없겠죠\r\n만회 할 수 있도록, 열심히 할게요"
動きのキレがちょっと足りない気がするんです\r\n鏡の前で動きを追求したいんですが……,안무의 완성도가 조금 부족한 기분이 들어요.\r\n거울 앞에서 연습하고 싶습니다만……
ダンスレッスンをお願いしたいです\r\n今週、お願いできませんか？,"댄스 레슨을 하고 싶어요\r\n이번 주, 부탁해도 될까요?"
今日はありがとうございました、プロデューサー\r\nとても気付きの多いレッスンでした,"오늘은 고마웠습니다, 프로듀서\r\n정말 깨달은 게 많은 레슨이었어요"
ずっとひとりで練習を続けていたので……\r\n鏡を見ながら動きが確認できて嬉しかったです,늘 혼자서 연습을 하고 있었는데……\r\n거울 보면서 동작을 확인할 수 있어서 기뻤어요.
……予約がいっぱいで使えるレッスン場がない、ですか\r\nちょっと残念です,"……예약이 가득 차서 사용할 수 있는 레슨실이 없다, 는 말이군요\r\n조금 유감이네요"
当分の間は、今まで通り公園で練習しておきますね\r\nレッスン場の予約が空いたら、また教えてください,"당분간은, 지금까지 해왔던 대로 공원에서 연습할게요\r\n레슨실 예약이 비게 되면, 다시 알려주세요"
お化粧のこと、普段から勉強はしているんですが\r\nまだまだわからないことも多くて……,"화장하는 법, 평소에 공부는 하고 있습니다만\r\n아직 모르는 것도 많아서……"
今週、ビジュアルレッスンお願いできませんか？,"이번 주, 비주얼 레슨 부탁해도 될까요?"
お化粧１つで印象がガラリと変わるんだって……\r\n当たり前のことですが、今日改めてそう思いました,"화장 하나로 인상이 확 바뀌어 버리다니……\r\n당연한 일이긴 하지만, 오늘은 새삼스레 그런 생각이 들었어요"
前よりも自信をもって、撮影に挑めそうです,"예전보다 자신감을 더 가지고, 촬영에 도전 할 수 있을거 같아요"
レッスンに充てる時間がない、ですか……\r\nそれじゃ仕方ないですね……,"레슨에 할당 할 시간이 없는, 건가요……?\r\n그러면 어쩔 수 없겠네요……"
少し経っても、まだモヤモヤがとれないままだったら\r\n改めて、レッスンをお願いしようと思います,"나중에라도, 계속 답답한게 풀리지 않을거 같으면\r\n재차, 레슨 부탁해 볼게요"
本当に申し訳ないんですが……\r\nここのところ体調がどうもよくなくて,정말 죄송합니다만……\r\n요즘 컨디션이 아무래도 안 좋은거 같아서
今週、お休みをいただいてもいいですか？,"이번 주, 휴가 내도 괜찮을까요?"
忙しい中、お休みをとっていただき\r\nありがとうございます,"바쁜 가운데, 휴가 내 주셔서\r\n고마워요"
また明日から、しっかりと頑張ろうと思います,"내일부터 다시, 제대로 열심히 해볼게요"
予定が予定がつまってるのに、休めないですよね\r\n私もプロ、ですから……,"예정이 꽉 차 있는데, 쉴 수는 없겠지요\r\n저도 프로, 이니깐요……"
仕事に穴をあけるわけにもいきませんしね\r\n気を引き締めて、前に進もうと思います,"일에 구멍을 낼 수도 없구요\r\n마음 단단히 먹고, 앞으로 나아가 볼게요"
ボーカルレッスンをお願いしたいんですが……\r\n一週間後にお願いできますか？,보컬 레슨을 하고 싶습니다만……\r\n일주일 후에 부탁해도 될까요?
ダンスレッスンをお願いしたいです\r\n一週間後にお願いできませんか？,댄스 레슨을 하고 싶어요\r\n일주일 후에 부탁해도 될까요?
一週間後にビジュアルレッスンお願いできませんか？,일주일 후에 비주얼 레슨 부탁해도 될까요?
一週間後にお休みをいただいてもいいですか？,일주일 후에 휴가 내도 괜찮을까요?
ボーカルレッスンをお願いしたいんですが……\r\n二週間後にお願いできますか？,보컬 레슨을 하고 싶습니다만……\r\n2주일 후에 부탁해도 될까요?
ダンスレッスンをお願いしたいです\r\n二週間後にお願いできませんか？,댄스 레슨을 하고 싶어요\r\n2주일 후에 부탁해도 될까요?
二週間後にビジュアルレッスンお願いできませんか？,2주일 후에 비주얼 레슨 부탁해도 될까요?
二週間後にお休みをいただいてもいいですか？,2주일 후에 휴가 내도 괜찮을까요?
あのねプロデューサー、今練習してる曲、難しくて……\r\nちゃんと合わせられてない気がするんだよね……,"있잖아 프로듀서, 지금 연습하고 있는 곡, 어려워서……\r\n제대로 맞춰지지 않은 느낌이 들어……"
だからボーカルレッスンしたいんだけど、\r\n今週って予定取れそうかな？,"그래서 보컬 레슨을 하고 싶은데,\r\n이번 주는 예정 좀 잡을 수 있을까?"
えへへ、ありがとう！\r\n約束だからね、プロデューサー！,"에헤헤, 고마워! \r\n약속이니까, 프로듀서!"
え、だめ？\r\n……そっか、わかったよ。急にごめんね！,"에, 안 돼? \r\n…… 그렇구나, 알았어. 갑자기 미안해!"
約束覚えててくれてありがとう！\r\nボーカルレッスン、楽しかったよー！,"약속 기억해줘서 고마워! \r\n보컬 레슨, 즐거웠어ー!"
これでちゃんと歌えるようになったと思うし、\r\n次聴くとき、楽しみにしててねっ,"이걸로 제대로 노래할 수 있게 된 것 같고,\r\n다음에 들을 때, 기대해줘"
ちょっと、プロデューサー！　約束忘れてたでしょー\r\n次はちゃんと守ってね,"잠깐, 프로듀서! 약속 잊어버렸지ー\r\n다음엔 잘 지켜줘"
うーん、ちょっと上手くいかなかったな\r\nごめんね、せっかく約束守ってくれたのに……,"으ー음, 좀 잘 안풀렸는걸\r\n미안, 기껏 약속 지켜줬는데……"
次はもっと頑張るから、またよろしくね、\r\nプロデューサー！,"다음엔 더 힘낼테니깐, 다음번에도 잘 부탁해,\r\n프로듀서!"
プロデューサー！\r\n新しくやった振り付け、とことんまで練習したいんだ！,"프로듀서!\r\n새로 나온 안무, 한 번 끝까지 연습하고 싶어!"
今週にダンスレッスンってできそう！？\r\nビシッと踊れるようにしちゃいたいの！,이번 주에 댄스 레슨 할 수 있을까!?\r\n자신있게 출 수 있도록 되고 싶어!
はぁ踊ったー！\r\n体動かすのってやっぱり気持ちいい！,"하아, 잔뜩 춤췄다ー!\r\n몸 움직이는 건 역시 기분 좋아!"
プロデューサーが約束守ってくれたおかげで\r\n振り付けも完璧だよ！　ありがとう！,프로듀서가 약속 지켜준 덕분에\r\n안무도 완벽하게 됐어! 고마워!
ダンスレッスンしたかったのに……\r\n次は忘れないでね？　プロデューサー,댄스 레슨 하고 싶었는데……\r\n다음엔 잊지 말아줘? 프로듀서
もっとしっかりお化粧の勉強がしたいんだよね！\r\nまだまだ知らないこといっぱいあるから！,좀 더 제대로 화장 공부를 하고싶어!\r\n아직 모르는게 잔뜩 있거든!
今週とかにビジュアルレッスンしても\r\n大丈夫かなぁ？,이번 주라든가 비주얼 레슨 해도\r\n괜찮으려나?
プロデューサー、見て見て！\r\nビジュアルレッスンの成果、どうかな！？,"프로듀서, 이거 봐봐!\r\n비주얼 레슨의 성과, 어때!?"
約束守ってもらえたから、\r\nレッスンも頑張っちゃったよ！,"약속 지켜줘서,\r\n레슨도 열심히 했어!"
もう！　プロデューサーったら約束忘れてるー！\r\n今度は守ってよー？,정말! 프로듀서도 참 약속 잊고 있었지ー!\r\n다음번에는 지켜줘야해ー?
プロデューサー、ちょっとお願いがあるんだけど……\r\n今週に友達と予定を入れたいんだ,"프로듀서, 조금 부탁이 있는데……\r\n이번 주에 친구랑 약속을 잡고 싶어"
お休み、もらっちゃダメかな？,"휴가, 받으면 안될까?"
お休みくれてありがとう、プロデューサー！\r\nたくさん友達と遊べて楽しかったよ～,"휴가줘서 고마워, 프로듀서!\r\n친구랑 잔뜩 놀 수 있어서 즐거웠어~"
今度はプロデューサーとも遊びに行きたいな！,다음엔 프로듀서랑도 같이 놀러가고 싶어!
友達と会う予定だったのに……\r\n悪いことしちゃったな,친구랑 만날 예정이었는데……\r\n미안하게 됐는걸
だからボーカルレッスンしたいんだけど、\r\n一週間後って予定取れそうかな？,"그래서 보컬 레슨을 하고 싶은데, 다음주로 예정 좀 잡을 수 있을까?"
一週間後にダンスレッスンってできそう！？\r\nビシッと踊れるようにしちゃいたいの！,다음주에 댄스 레슨 할 수 있을까!?\r\n자신있게 출 수 있도록 되고싶어!
一週間後とかにビジュアルレッスンしても\r\n大丈夫かなぁ？,"다음주라든가, 비주얼 레슨 해도\r\n괜찮으려나?"
プロデューサー、ちょっとお願いがあるんだけど……\r\n一週間後に友達と予定を入れたいんだ,"프로듀서, 조금 부탁이 있는데……\r\n다음주에 친구랑 약속을 잡고 싶어"
だからボーカルレッスンしたいんだけど、\r\n二週間後って予定取れそうかな？,"그래서 보컬 레슨을 하고 싶은데, 2주뒤로 예정 좀 잡을 수 있을까?"
二週間後にダンスレッスンってできそう！？\r\nビシッと踊れるようにしちゃいたいの！,2주뒤에 댄스 레슨 할 수 있을까!?\r\n자신있게 출 수 있도록 되고싶어!
二週間後とかにビジュアルレッスンしても\r\n大丈夫かなぁ？,"2주뒤라든가, 비주얼 레슨 해도\r\n괜찮으려나?"
プロデューサー、ちょっとお願いがあるんだけど……\r\n二週間後に友達と予定を入れたいんだ,"프로듀서, 조금 부탁이 있는데……\r\n2주일 후에 친구랑 예정을 넣고 싶어"
うち、もっともっと歌が上手になりたか！,"내, 더더욱 노래를 잘 부르고 싶구마!"
今週にみっちりボーカルレッスンしたいけん\r\nプロデューサー、場所とってくれんね？,"이번 주에 제대로 보컬 레슨 하고 싶응께\r\n프로듀서, 장소 잡아주지 않을래?"
さすがプロデューサー！\r\nありがとーね！,역시 프로듀서! \r\n고마워야!
そっか……いや、気にせんとって！,"그른가……아니, 신경쓰지 말어야!"
うち、また歌が上手くなったような気がするたい！,"내, 또 노래를 더 잘 허게 된 것 같은 기분이 들어야!"
みっちりレッスンした甲斐があったわー\r\nまたよろしゅうね、プロデューサー！,"제대로 레슨한 보람이 있었어ー\r\n또 잘 부탁혀, 프로듀서!"
うち、自分でもレッスンせんとと思って\r\nカラオケいってきたばい,"내, 스스로도 레슨혀야겄다 싶어서\r\n노래방 다녀왔어야"
けど、レッスン場とはやっぱり勝手が違うけん……\r\n次はちゃんと練習したかー,"근디, 레슨장과는 역시 느낌이 다르니께……\r\n담에는 제대로 연습하고 싶구마ー"
うちのわがままで調整してくれたんに……,내 억지 때문에 조정해 줬는디……
申し訳なか～……\r\nうち、上手くできんかった……,"면목이 없구마~……\r\n내, 잘 할수 없었어야……"
うち、踊りは得意なんやけど\r\n練習してて必ず上手くできんところがあるんよー,"내, 춤은 특기지만\r\n연습해서 반드시 잘 하고 싶은 부분이 있당께ー"
プロデューサー、今週にダンスレッスンしたいばい！\r\nうち、もっと上手に踊りたかー,"프로듀서, 이번 주에 댄스 레슨 하고 싶구마! \r\n내, 좀 더 잘하고 싶어야ー"
ん～！　調子が出すぎて踊り過ぎたばい！,응~! 상태가 너무 좋아가꼬 너무 춤춰부렸어야!
今日はばり良かダンスレッスンができたとよ～\r\n次も頑張るけんね！　プロデューサー！,오늘은 겁나 좋은 댄스 레슨을 할 수 있었어야~\r\n다음에도 힘낼거구마! 프로듀서!
あー、ダンスレッスン場とれんかったんかー,"아ー, 댄스 레슨장은 못 빌렸던 거구마ー"
ならしょうがないばい！\r\nまた別ん日にすればよかよー,그러면 어쩔수 없디야!\r\n또 다른 날에 허면 좋지라ー
うちの魅力をもっと磨くばい！\r\nそんためには、お化粧のレッスンが必要なんよー,"내 매력을 더 연마할 거여! \r\n그러기 위해서는, 화장 레슨이 필요허당께ー"
今週、ビジュアルレッスンしたいばってん\r\nプロデューサー、付きおうてくれんね？,"이번 주, 비주얼 레슨 허고 싶은디\r\n프로듀서, 어울려 준당가?"
んふふー、うち、ますます綺麗になった気がするたい,"응후후ー, 내, 점점 더 예뻐지는 느낌이 들어야"
プロデューサーがきてくれて気合が入ったけん、\r\nありがとーね！,"프로듀서가 와줘서 기합이 들어갔으니께, \r\n고마워!"
そっか……\r\nまあ、お化粧の練習はどこでもできるけんね,"그런가……\r\n뭐, 화장의 연습은 어디라도 할 수 있으니께"
また、今度、よろしゅう頼むばい！,"또, 다음에, 잘 부탁헌당께!"
ふぅー、なんかいつもの調子がでんばい……,"후우ー, 왠지 평소의 상태가 안나온디야……"
プロデューサー、少しだけ休みたいんやけど……\r\n今週って空けられんと……？,"프로듀서, 조금 쉬고 싶은디……\r\n이번 주는 일정 비워줄 수 없당가……?"
ん～！　スッキリしたばいー\r\nこれでまたアイドル活動に集中できるとよ！,응~! 상쾌해졌어야ー\r\n이거로 또 아이돌 활동에 집중할수 있어야!
ばっちり元気になったし\r\n休んだ分、もっと頑張るけんね！,"제대로 기운도 차렸고\r\n쉰만큼, 더욱 열심히 할테니께!"
いやー、気にしてなかよ。うちもアイドルやけん\r\n忙しいのは良かことばいー,"아니, 신경쓰지 않어야. 내도 아이돌이니께\r\n바쁜것은 좋은 일이구마ー"
ばってん、たまにはゆっくりできる時間も欲しいけん\r\n次はよろしゅうねー,"근디, 가끔은 느긋하게 있는 시간도 갖고 싶어야\r\n다음에는 부탁허구마ー"
一週間後にみっちりボーカルレッスンしたいけん\r\nプロデューサー、場所とってくれんね？,"일주일후에 꼭 보컬 레슨을 하고 싶으니께\r\n프로듀서, 장소 잡아줘야 혀?"
プロデューサー、一週間後にダンスレッスンしたいばい！\r\nうち、もっと上手に踊りたかー,"프로듀서, 일주일 후에 댄스 레슨하고 싶어야!\r\n내, 더욱 잘 추고 싶구마ー"
一週間後、ビジュアルレッスンしたいばってん\r\nプロデューサー、付きおうてくれんね？,"일주일후, 비주얼 레슨하고 싶은디 \r\n프로듀서, 어울려 줘야혀?"
プロデューサー、少しだけ休みたいんやけど……\r\n一週間後って空けられんと……？,"프로듀서, 좀 쉬고 싶은디……\r\n1주일 후 비워줄 수 없당가……?"
二週間後にみっちりボーカルレッスンしたいけん\r\nプロデューサー、場所とってくれんね？,"2주일 후에 꼭 보컬 레슨이 하고 싶으니께\r\n프로듀서, 자리 잡아줄 수 있어야?"
プロデューサー、二週間後にダンスレッスンしたいばい！\r\nうち、もっと上手に踊りたかー,"프로듀서, 2주일 후에 댄스 레슨이 하고 싶어야!\r\n내, 좀 더 잘 추고 싶구마ー"
二週間後、ビジュアルレッスンしたいばってん\r\nプロデューサー、付きおうてくれんね？,"2주일 후, 비주얼 레슨하고 싶은디, \r\n프로듀서, 어울려 줘야 혀?"
プロデューサー、少しだけ休みたいんやけど……\r\n二週間後って空けられんと……？,"프로듀서, 좀 쉬고 싶은디……\r\n2주일 후 비워줄 수 있당가……?"
プロデューサー、私ー珍しくやる気が出てるかもー\r\nたまには大声を出してもいいかなぁってー,"프로듀서, 저ー드물게 의욕이 생겼을지도ー\r\n가끔씩은 큰 소리를 내도 괜찮지 않을까 하고ー"
今週ボーカルレッスンとか、どうですかぁ？,"이번 주 보컬 레슨이라든가, 어떤가요오?"
ふふー、プロデューサーは優しいですねー,"후후ー, 프로듀서는 상냥하네요ー"
えー、プロデューサーはまみみのお願い、\r\n聞いてくれないんだー……,"에ー, 프로듀서는 마미미의 부탁, \r\n들어 주지 않는 거구나ー……"
いい感じに声が出せましたぁ,좋은 느낌으로 소리를 낼 수 있었어요오
プロデューサー、今度聞かせてあげてもいいですよー,"프로듀서, 다음에 들려줄 수도 있다구요ー"
ボーカルレッスン、すっごくやる気だったのになぁ,"보컬 레슨, 엄청 의욕이 생겼었는데에"
次こそはぁ、お願いしますねー,"다음에야말로, 부탁 드릴 테니까요ー"
うーん……調子が悪かったですかねー,으ー음…… 상태가 나빴던 걸까요ー
このままは、なんか嫌なのでー、次もお願いしますー,"이대로는, 뭔가 싫으니까ー, 다음에도 부탁드릴게요ー"
私ー、なんだか踊りたい気分なんですケド\r\nスケジュール入れられますかぁ？,"저ー, 왠지 춤추고 싶은 기분인데 말이죠\r\n스케줄 넣어 주실 수 있나요오?"
今週、ダンスレッスンしたいですー,"이번 주, 댄스 레슨 하고 싶어요ー"
たくさん踊ったら疲れましたけどー、\r\nでも、すこーしだけ、楽しかったかもですねー,"많이 춤 췄더니 지쳤지만요ー,\r\n그래도, 조ー금, 즐거웠을지도 모르겠네요ー"
気が向いたらまたお願いしようかなー,기분이 내키면 또 부탁해 볼까나ー
……レッスン、サボろうと思ってたんで―\r\n丁度よかったんですケド,"……레슨, 빼먹을까 생각했는데―,\r\n마침 잘된 걸지도"
……でも、プロデューサーに約束守ってもらえなくて、\r\nちょっとショックですー……,"……그렇지만, 프로듀서가 약속을 지켜주지 않아서, \r\n조금 쇼크에요ー……"
お化粧はぁ、女子にとってなによりも大事なんですよー,"화장은, 여자에게 있어 무엇보다도 중요하다구요ー"
なのでー、今週ビジュアルレッスンしたいですー,"그러므로ー, 이번 주 비주얼 레슨 하고 싶어요ー"
ふふー、どうですかぁ、プロデューサー,"후후ー, 어떤가요오, 프로듀서"
私、可愛くなりましたかぁ？,"저, 귀여워졌나요오?"
約束を破るなんて―、プロデューサーも悪い人ですねー\r\n私の心、傷ついちゃったかもしれませんよー？,"약속을 어기다니―, 프로듀서도 나쁜 사람이네요ー\r\n제 마음, 상처입어 버렸을지도 모른다구요ー?"
まぁ、次は約束守ってくださいねー\r\nプロデューサー,"뭐, 다음엔 약속 지켜 주세요ー\r\n프로듀서"
プロデューサー\r\nなんだか調子が乗らないのでー,프로듀서\r\n왠지 상태가 내키지 않아서ー
今週は休みにしませんかぁ？,이번 주는 휴일로 하지 않을래요오?
今日はちゃんと休んだのでー,오늘은 확실히 쉬었으니까ー
今度はぁ、真面目にレッスンしてもいいかもですねー,"이번엔, 성실하게 레슨받아도 괜찮을지도 모르겠네요ー"
私、お風呂に入って休む気でいましたけどー,"저, 욕실에 들어가 쉴 생각으로 있었는데요ー"
はぁ……もう帰りますねー,하아……이만 돌아갈게요ー
一週間後ボーカルレッスンとか、どうですかぁ？,"일주일 후 보컬 레슨이라든가, 어떨까요오?"
一週間後、ダンスレッスンしたいですー,"일주일 후, 댄스 레슨 하고 싶어요ー"
なのでー、一週間後ビジュアルレッスンしたいですー,"그러므로ー, 일주일 후 비주얼 레슨 하고 싶어요ー"
一週間後は休みにしませんかぁ？,일주일 후는 휴일로 하지 않으실래요오?
二週間後ボーカルレッスンとか、どうですかぁ？,"2주일 후 보컬 레슨이라든가, 어떤가요오?"
二週間後、ダンスレッスンしたいですー,"2주일 후, 댄스 레슨 하고 싶어요ー"
なのでー、二週間後ビジュアルレッスンしたいですー,"그러므로ー, 2주일 후 비주얼 레슨 하고 싶어요ー"
二週間後は休みにしませんかぁ？,2주일 후는 휴일로 하지 않으실래요오?
歌のパフォーマンスについて\r\nより良く見せる方法を勉強したいんだ,노래의 퍼포먼스에 대해\r\n보다 좋게 보일 수 있는 방법을 공부하고 싶어
ボーカルレッスンの時間を\r\n今週で調整をしてもらっていいかな？,보컬 레슨의 시간을\r\n이번 주에 조정해 줄 수 있을까?
フフ、ありがとう\r\nプロデューサーならそう言ってくれると思ったよ,"후후, 고마워\r\n프로듀서라면 그렇게 말해줄 거라고 생각했어"
そうか……仕方ないね,그런가…… 어쩔 수 없지
今日のレッスンで苦手な音域があることが\r\n理解できたんだ,오늘의 레슨으로 서투른 음역이 있단 걸\r\n이해할 수 있었어
大きな収穫になったよ\r\nありがとう、プロデューサー,"큰 수확이 됐어\r\n고마워, 프로듀서"
もうちょっと歌の完成度を高めたかったのだけど……,앞으로 조금 노래의 완성도를 높이고 싶었지만……
いや、忘れていたのなら仕方ないね……\r\n次は頼むよ,"아니, 잊고 있던 거라면 어쩔 수 없지……\r\n다음엔 부탁할게"
プロデューサーが約束を守ってくれたというのに\r\nこの結果なんて、我ながら情けないな……,"프로듀서가 약속을 지켜 주었는데\r\n이 결과라니, 스스로도 한심하네……"
次こそは期待に応えられるようにしてみせるよ,다음이야말로는 기대에 부응할 수 있도록 해볼게
この振り付けなんだけど、\r\nどうしても自分で納得できないんだ,"이 안무 말인데, \r\n어찌해도 스스로 납득 할 수 없어"
今週にダンスレッスンをしたいんだが……\r\n頼めるかな？,이번 주에 댄스 레슨을 하고 싶은데……\r\n부탁할 수 있을까?
うん、やっと動きをモノにできた気がするね,"응, 겨우 움직임을 보여줄만한 것으로 만들었단 느낌이 들어"
約束を守ってくれたアナタのおかげだよ\r\nありがとう,약속을 지켜 준 당신 덕분이야\r\n고마워
次のオーディションまでに振付を\r\n完璧にしておきたかったんだけどな……,다음 오디션까지 안무를\r\n완벽하게 해 두고 싶었는데 말야……
いや、気にしていないよ\r\nまた予定を合わせればいいさ,"아니, 신경쓰지 않아\r\n다시 예정을 맞줘준다면 괜찮아"
モデルではなく、アイドルとして\r\n自分を魅力的に演出する方法を研究したいんだ,"모델이 아니라, 아이돌로서\r\n자신을 매력적으로 연출하는 방법을 연구하고 싶어"
今週にビジュアルレッスンを頼んでもいいかい？,이번 주에 비주얼 레슨을 부탁해도 괜찮을까?
アイドルとして自分を魅せるには\r\n着実な努力が必要なんだね,아이돌로서 자신을 매료시키려면 \r\n착실한 노력이 필요한 거구나
今回は気付きの多いレッスンだったよ\r\nこのお礼はいつかしないとね,이번엔 깨달은 게 많은 레슨이었어\r\n이 답례는 언젠가 해야겠는걸
アイドルとしての魅せ方は分からないままか……\r\n残念だな……,아이돌로서의 매료하는 방법은 모르는 채인가……\r\n유감이네……
今度はきっちり\r\n約束を守ってほしいな,다음엔 확실히\r\n약속을 지켜 줬으면 해
ファンのみんなに喜んでもらうにはどうしたらいいか\r\nじっくりと考える時間が欲しいんだ,팬 모두를 기쁘게 하려면 어떻게 하면 좋을까\r\n차분히 생각할 시간을 갖고 싶어
今週に休みをもらってもいいかな？,이번 주에 휴일을 받아도 괜찮을까?
じっくりと考える時間をもらえたお陰で\r\nいいアイディアを思いついたよ,차분히 생각하는 시간을 가진 덕분에\r\n좋은 아이디어를 생각해 냈어
これから楽しくなりそうだ\r\nありがとう、プロデューサー,"지금부터 즐거워질 것 같아\r\n고마워, 프로듀서"
日々仕事をこなしながら\r\n新しい自分を模索することは難しいね……,나날이 일을 해내면서\r\n새로운 자신을 모색하는 것은 어렵네……
すまないが、次は時間を作ってほしいな,"미안하지만, 다음에 시간을 만들어 줬으면 해"
ボーカルレッスンの時間を\r\n一週間後で調整をしてもらっていいかな？,보컬 레슨의 시간을\r\n일주일 후로 조정해 줄 수 있을까?
一週間後にダンスレッスンをしたいんだが……\r\n頼めるかな？,일주일 후에 댄스 레슨을 하고 싶은데……\r\n부탁할 수 있을까?
一週間後にビジュアルレッスンを頼んでもいいかい？,일주일 후에 비주얼 레슨을 부탁해도 괜찮을까?
一週間後に休みをもらってもいいかな？,일주일 후에 휴일을 받아도 괜찮을까?
ボーカルレッスンの時間を\r\n二週間後で調整をしてもらっていいかな？,보컬 레슨의 시간을\r\n2주일 후로 조정해 줄 수 있을까?
二週間後にダンスレッスンをしたいんだが……\r\n頼めるかな？,2주일 후에 댄스 레슨을 하고 싶은데……\r\n부탁할 수 있을까?
二週間後にビジュアルレッスンを頼んでもいいかい？,2주일 후에 비주얼 레슨을 부탁해도 괜찮을까?
二週間後に休みをもらってもいいかな？,2주일 후에 휴일을 받아도 괜찮을까?
アイドル三峰結華に今、足りないもの……\r\nそれはズバリ！　誰もが聞き惚れるような歌声かと！,"아이돌 미츠미네 유이카에게 지금, 부족한 것……\r\n그것은 즉! 누구나 홀릴 것 같은 노랫소리가 아닐까!"
ということで、プロデューサー？\r\n今週にボーカルレッスンを入れて欲しいなー？,"그런 고로, 프로듀서? \r\n이번 주에 보컬 레슨을 넣어준다면 좋을 텐데ー?"
さっすが！　プロデューサーは話が分かる男だなぁ\r\nそんじゃよろしくね！　頼みましたよっ,역시! 프로듀서는 이야기가 통하는 남자네\r\n그러면 잘 부탁해! 믿을 테니까
おっと、ダメか。……ざーんねん\r\n三峰了解いたしましたー,"어이쿠, 안 되나. ……유감\r\n미츠미네 잘 알겠습니다ー"
ふっふー、これからの三峰は一味違うんだぜＰたん\r\n練習の成果、今から聴かせてあげちゃおっか？,"훗후ー, 앞으로의 미츠미네는 한 차원 다르다구 P땅\r\n연습의 성과, 지금부터 들려드릴까?"
……あ、大丈夫？　それはまたお仕事とかで？\r\nまぁいいけど、お礼だけは言わせてほしいな。ありがとね,"……아, 괜찮아? 그건 다음에 일할 때나 보여주라고?\r\n뭐 상관은 없지만, 감사라도 하게 해줘. 고마워."
さぁてここでプロデューサーに問題です！\r\n今日はなんの日だったでしょーおかっ？,그럼 여기서 프로듀서에게 문제입니다! \r\n오늘은 무슨 날이었을까요?
正解は……？　ボーカルレッスンの約束の日でした～！\r\n……プロデューサー？　次はちゃんと守ってよね,정답은……? 보컬 레슨 약속의 날이었습니다~! \r\n……프로듀서? 다음은 제대로 지켜요
やっちゃったなぁ……。ごめんねプロデューサー、\r\nせっかくレッスン入れてもらったのに……,"저질렀구만……미안해요 프로듀서, \r\n모처럼 레슨 넣어 주셨는데……"
三峰、上手くできなかったよ\r\n……次までにはなんとかするから待ってて！,"미츠미네, 잘할 수 없었어\r\n…… 다음까지는 어떻게든 할 테니까 기다려 줘!"
プロデューサープロデューサー、ちょっと相談なんだけど\r\n……この前習った振り付けがね？　あんま上手くいかなくて,"프로듀서 프로듀서, 조금 상담이 있는데\r\n……일전에 배운 안무가 말야? 생각보다 잘 안 되어서"
今週にダンスレッスン入れてもらえたらなーなんて……\r\n……どうかな？,이번 주에 댄스 레슨 넣어주면 좋겠다 싶어서……\r\n…… 어떨까?
プロデューサープロデューサー\r\nちょっとだけこっち！　耳貸して？,프로듀서 프로듀서\r\n조금만 여기! 귀 좀 빌려줄래?
特訓のおかげで、苦手は克服できました！\r\nありがとう。プロデューサーが約束守ってくれたおかげだよ,"특훈 덕분에, 골칫거리를 극복할 수 있었습니다! \r\n고마워요. 프로듀서가 약속 지켜준 덕분이야"
えーっと、プロデューサー……？\r\nダンスレッスン、約束してたと思うんだけど……,"저기, 프로듀서……? \r\n댄스 레슨, 약속했었다고 생각하는데……"
……忘れちゃってたならしょうがない！\r\n今回は水に流しましょう！,……잊어 버린 거라면 어쩔 수 없지! \r\n이번엔 없었던 것으로 치자!
メイクって言っても一筋縄じゃいかないんだなぁこれが\r\n奥深くって困っちゃうよ,메이크업이라고 해도 보통 수단으론 안 된단 말이지 이게\r\n심오해서 곤란해져 버려
そんなわけなので、プロデューサーにお願いです！\r\n……今週にビジュアルレッスンを入れてほしいなっ,"그런 의미로, 프로듀서에게 부탁입니다! \r\n……이번 주에 비주얼 레슨을 넣어주면 하는데"
不肖三峰……メイクの極意をバッチリ学んできましたよー\r\nこれもＰたんのおかげです。本っ当に感謝してます,불초 미츠미네…… 메이크업의 비법을 확실히 배워 왔습니다ー\r\n이것도 P땅의 덕분입니다. 정말로 감사하고 있습니다
